ProductFamily,Product,Demand_2022_1,Demand_2022_2,Demand_2022_3,Demand_2022_4,Demand_2022_5,Demand_2022_6,Demand_2022_7,Demand_2022_8,Demand_2022_9,Demand_2022_10,Demand_2022_11,Demand_2022_12,Demand_2023_1,Demand_2023_2,Demand_2023_3,Demand_2023_4,Demand_2023_5,Demand_2023_6,Demand_2023_7,Demand_2023_8,Demand_2023_9,Demand_2023_10,Demand_2023_11,Demand_2023_12,
BCD,BCD00079,67,14,98,91,57,77,90,83,39,85,7,69,40,82,71,42,48,77,11,29,87,42,68,68,
BCD,BCD00080,96,50,86,7,87,17,98,10,34,59,78,43,61,39,90,29,65,43,55,11,39,30,21,66,
BCD,BCD00081,80,74,25,83,81,88,95,95,84,40,67,25,98,90,25,79,73,41,32,59,78,39,48,69,
BCD,BCD00082,77,15,31,16,15,85,44,20,94,43,40,64,47,35,14,12,96,92,36,7,77,90,39,59,
BCD,BCD00083,17,32,59,75,7,17,45,61,78,84,94,14,45,31,1,26,55,84,65,94,67,28,44,95,
BCD,BCD00084,98,28,95,45,82,67,2,12,54,63,73,80,44,46,56,61,65,74,89,79,65,9,9,88,
BCD,BCD00085,46,91,41,52,92,18,82,58,50,9,86,51,38,79,17,42,8,53,0,30,64,59,40,68,
BCD,BCD00086,3,64,46,80,95,1,81,50,9,63,94,83,6,82,12,99,83,89,57,59,38,62,94,3,
BCD,BCD00087,85,35,16,19,91,75,65,61,36,24,34,100,14,64,28,10,84,36,71,88,73,75,57,76,
BCD,BCD00088,41,82,40,61,73,18,17,12,31,8,14,16,4,29,77,4,74,83,38,57,52,34,5,34,
BCD,BCD00089,18,86,65,73,26,40,27,86,45,32,58,88,64,54,25,61,30,6,19,24,98,22,5,84,
BCD,BCD00090,78,41,89,4,48,23,50,3,10,67,47,37,79,36,32,4,24,62,31,8,88,81,63,41,
BCD,BCD00091,74,99,84,85,18,95,82,78,22,100,24,49,50,69,1,22,45,69,34,90,19,45,99,9,
BCD,BCD00092,96,40,0,84,45,35,63,3,1,94,74,71,64,96,1,41,39,52,97,76,29,48,66,33,
BCD,BCD00093,22,90,85,76,10,49,7,74,47,28,71,7,72,23,82,60,39,6,5,100,21,15,45,45,
BCD,BCD00094,57,63,57,98,61,29,66,9,0,4,69,38,46,68,99,30,53,73,37,97,97,68,98,61,
BCD,BCD00095,14,23,79,29,28,52,37,89,36,12,64,37,49,62,77,10,66,80,42,29,68,87,89,11,
BCD,BCD00096,0,69,34,75,49,41,9,3,0,19,93,52,57,8,100,7,99,98,2,94,25,81,100,57,
BCD,BCD00097,11,0,77,14,82,24,23,99,6,40,20,62,32,55,20,62,67,69,28,48,81,81,17,95,
BCD,BCD00098,86,86,17,23,27,43,9,35,79,84,23,56,80,5,57,89,11,74,4,84,76,53,86,99,
BCD,BCD00099,31,24,11,36,80,66,5,45,15,30,47,85,92,13,86,65,11,56,46,22,20,96,17,72,
BCD,BCD00100,55,37,54,90,73,4,34,18,7,10,34,26,58,16,12,85,18,96,17,67,30,38,51,42,
BCD,BCD00101,0,85,79,33,8,100,96,37,52,62,12,47,61,49,29,57,6,61,21,92,69,69,17,100,
BCD,BCD00102,88,82,20,7,74,3,69,68,91,20,54,18,28,65,39,94,66,96,34,66,87,5,95,43,
BCD,BCD00103,85,72,47,35,18,38,28,2,84,14,32,82,82,30,86,68,34,55,36,69,43,20,10,53,
BCD,BCD00104,83,20,82,66,9,12,8,55,64,74,22,34,29,70,12,9,22,58,36,68,51,23,93,27,
BCD,BCD00105,42,68,24,39,29,99,13,94,20,82,52,30,98,73,33,3,0,99,14,80,11,43,86,67,
BCD,BCD00106,76,26,1,40,49,0,92,54,83,52,49,91,24,39,13,7,17,30,3,12,59,89,46,60,
BCD,BCD00107,83,37,2,71,22,12,12,65,82,43,100,65,98,10,3,77,48,53,86,73,78,67,86,63,
BCD,BCD00108,73,77,67,32,50,4,54,87,25,15,99,99,72,7,73,8,21,67,99,31,79,10,73,100,
BCD,BCD00109,62,99,20,27,63,43,42,90,77,94,31,68,41,97,18,90,5,12,19,41,47,49,9,37,
BCD,BCD00110,7,87,54,53,31,23,68,99,41,87,37,69,24,45,96,75,81,63,18,83,54,86,48,33,
BCD,BCD00111,99,75,4,14,14,96,9,43,17,74,87,80,56,7,74,56,26,99,28,37,63,99,2,67,
BCD,BCD00112,30,49,36,17,41,31,62,74,44,43,79,87,12,40,48,57,48,70,13,22,61,83,44,13,
BCD,BCD00113,73,29,6,51,60,98,83,13,45,80,23,69,47,17,41,11,26,12,71,36,69,6,56,56,
BCD,BCD00114,86,76,34,50,17,84,77,52,20,5,8,87,20,77,97,28,90,8,3,8,17,49,96,1,
BCD,BCD00115,99,93,44,77,36,17,85,97,94,38,27,16,17,100,75,98,50,98,34,76,10,13,30,50,
BCD,BCD00116,75,9,45,58,53,58,31,18,1,62,46,0,77,84,35,51,5,95,5,59,42,9,92,6,
BCD,BCD00117,93,40,71,29,26,71,60,24,1,46,12,13,71,92,35,31,71,21,78,31,39,29,33,46,
BCD,BCD00118,43,87,65,75,98,59,13,9,36,55,89,22,40,3,10,68,31,40,62,60,85,32,82,16,
BCD,BCD00119,60,23,43,55,36,65,97,64,14,98,26,48,96,59,87,28,93,88,48,1,93,84,60,39,
BCD,BCD00120,44,22,42,69,100,78,10,18,56,43,76,66,46,53,64,0,99,14,39,85,100,70,75,99,
BCD,BCD00121,14,26,28,62,42,70,64,31,3,84,90,60,99,93,90,34,77,80,76,85,12,4,57,18,
BCD,BCD00122,74,96,51,34,7,36,50,34,69,4,93,53,12,84,26,3,74,16,68,53,28,39,0,94,
BCD,BCD00123,96,61,73,61,14,48,16,57,43,61,47,97,23,78,70,92,52,88,47,59,10,29,6,67,
BCD,BCD00124,30,3,21,70,72,46,0,54,30,87,34,71,60,93,60,97,86,44,34,64,46,10,92,92,
BCD,BCD00125,51,43,40,1,69,9,83,98,64,0,11,80,78,74,25,86,19,49,12,71,30,37,46,1,
BCD,BCD00126,15,51,49,44,100,43,33,5,86,17,62,41,21,86,15,84,4,47,88,20,14,23,13,1,
BCD,BCD00127,33,86,81,55,42,38,21,47,54,22,32,98,19,7,9,5,82,44,90,24,74,73,17,80,
BCD,BCD00128,56,76,42,86,42,84,32,6,20,60,30,16,96,62,66,78,46,63,82,82,23,49,1,95,
BCD,BCD00129,76,64,62,48,75,21,96,61,77,32,31,39,48,12,67,77,32,29,79,60,42,90,27,92,
BCD,BCD00130,70,30,95,23,64,41,50,50,44,11,98,31,25,84,82,77,18,20,85,71,94,27,75,56,
BCD,BCD00131,47,44,26,41,89,94,62,22,79,88,59,76,21,89,87,54,42,8,15,63,12,24,19,42,
BCD,BCD00132,52,20,70,84,67,97,7,15,65,76,74,4,30,34,29,93,48,34,64,28,23,98,76,70,
BCD,BCD00133,100,80,88,89,75,84,3,17,82,88,36,61,65,7,15,6,34,40,93,72,93,91,90,84,
BCD,BCD00134,25,90,79,7,70,2,91,32,22,59,92,47,11,76,23,85,92,82,38,68,83,25,15,9,
BCD,BCD00135,49,58,37,81,6,97,93,81,31,100,4,3,69,86,44,90,9,88,53,98,26,50,51,23,
BCD,BCD00136,71,40,89,8,53,47,51,11,51,28,85,55,45,8,33,22,54,72,84,70,23,75,41,45,
BCD,BCD00137,16,17,6,48,55,63,4,96,99,41,85,100,59,93,71,27,95,57,99,16,7,39,7,67,
BCD,BCD00138,99,4,27,78,51,85,29,6,83,28,61,25,72,7,49,76,96,21,95,60,19,2,87,44,
BCD,BCD00139,59,43,60,58,70,95,62,18,37,30,74,99,93,89,68,10,38,41,0,31,66,79,76,94,
BCD,BCD00140,97,82,31,13,55,8,29,25,65,59,11,33,27,87,46,37,77,80,70,81,4,81,90,78,
BCD,BCD00141,19,43,93,34,99,26,7,5,28,5,41,66,1,88,56,21,96,70,74,50,12,42,28,48,
BCD,BCD00142,56,28,19,85,38,50,18,1,6,76,65,30,6,71,85,72,91,49,54,94,29,18,32,55,
BCD,BCD00143,44,76,24,96,100,25,20,64,12,25,10,58,91,57,1,78,45,32,14,12,31,23,6,8,
BCD,BCD00144,85,57,29,61,23,80,95,5,80,43,46,6,46,79,86,45,18,23,26,51,32,15,56,83,
BCD,BCD00145,78,5,27,52,93,46,65,90,50,20,96,27,32,19,53,51,85,79,39,86,35,0,5,59,
BCD,BCD00146,21,45,43,60,77,27,71,78,77,82,2,36,88,99,31,54,57,9,20,92,51,94,88,87,
BCD,BCD00147,32,4,7,97,57,28,75,0,5,56,82,83,59,73,93,41,51,3,28,86,59,32,24,57,
BCD,BCD00148,7,71,8,98,60,31,41,96,4,17,76,50,92,2,93,80,24,65,3,40,18,1,36,14,
BCD,BCD00149,61,97,18,73,97,46,52,98,21,18,91,64,50,40,46,53,77,27,89,25,25,20,41,62,
BCD,BCD00150,38,12,25,8,62,42,39,26,21,58,58,60,89,15,20,4,90,2,0,29,35,83,36,87,
BCD,BCD00151,57,83,19,76,44,94,79,95,78,34,70,9,69,2,8,76,23,9,64,75,65,94,70,27,
BCD,BCD00152,20,62,47,18,25,21,88,61,69,38,92,8,50,51,86,71,90,40,15,3,47,77,88,38,
BCD,BCD00153,83,64,33,77,75,30,71,64,67,47,71,63,80,30,97,8,87,100,46,81,4,99,0,15,
BCD,BCD00154,36,10,77,42,14,50,73,32,63,26,14,87,20,83,87,73,51,64,90,82,59,88,44,83,
BCD,BCD00155,35,37,84,22,96,29,60,17,19,8,65,22,16,25,47,55,89,36,75,60,36,84,10,92,
BCD,BCD00156,34,43,44,88,5,29,26,52,40,73,53,36,60,60,64,15,25,69,23,90,40,95,74,15,
BCD,BCD00157,98,66,56,81,42,21,54,14,61,13,16,15,40,43,13,78,75,45,52,96,95,7,85,98,
BCD,BCD00158,5,74,88,99,44,78,54,62,74,23,89,96,64,5,35,61,78,88,63,19,91,84,71,3,
BCD,BCD00159,80,75,70,65,14,68,11,14,32,33,30,61,10,10,15,81,44,48,8,93,84,26,69,93,
BCD,BCD00160,65,27,81,66,97,53,0,90,80,39,90,43,30,30,89,66,82,16,7,23,84,10,94,74,
BCD,BCD00161,96,52,77,68,53,87,92,0,37,45,80,65,84,6,73,43,86,53,84,9,45,61,47,33,
BCD,BCD00162,28,9,86,7,12,43,4,1,27,80,44,35,31,36,95,44,37,46,31,36,64,74,42,87,
BCD,BCD00163,49,91,53,76,25,1,89,24,11,99,79,34,65,41,15,95,97,63,71,12,83,5,12,7,
BCD,BCD00164,55,9,59,59,87,6,4,15,60,73,83,100,4,99,29,34,4,61,69,26,29,69,65,53,
BCD,BCD00165,89,95,23,90,27,65,83,91,67,72,78,18,96,77,30,22,50,45,9,19,52,1,40,8,
BCD,BCD00166,85,86,27,4,91,60,8,59,53,83,59,14,43,94,58,93,36,23,84,23,36,8,49,88,
BCD,BCD00167,32,3,73,37,26,55,23,52,57,70,24,16,22,10,89,30,15,29,100,68,60,69,5,41,
BCD,BCD00168,50,84,35,75,84,14,10,78,57,86,61,16,13,9,57,98,97,77,32,53,52,3,47,2,
BCD,BCD00169,52,48,54,58,93,52,49,100,93,100,93,93,27,23,35,62,63,100,99,67,43,6,60,68,
BCD,BCD00170,7,92,64,43,68,14,37,4,87,100,80,29,91,27,67,92,6,85,85,90,32,70,8,70,
BCD,BCD00171,16,29,14,46,14,18,44,50,48,2,34,7,9,63,29,76,79,63,81,68,87,30,14,56,
BCD,BCD00172,31,47,38,68,63,43,35,1,14,19,49,87,53,39,30,27,8,92,51,4,75,12,53,50,
BCD,BCD00173,79,49,88,40,8,47,84,69,47,49,12,65,35,3,78,64,85,96,81,62,42,97,42,58,
BCD,BCD00174,24,81,40,96,26,35,74,81,80,30,56,42,2,94,7,88,15,90,14,47,19,9,81,26,
BCD,BCD00175,48,79,97,50,94,18,91,6,80,88,44,11,76,18,97,29,29,83,68,95,1,61,5,27,
BCD,BCD00176,43,60,56,83,24,54,88,55,47,43,39,11,68,13,89,16,1,48,82,80,81,31,44,66,
BCD,BCD00177,18,21,57,62,31,82,5,18,76,77,40,47,9,69,72,47,68,9,9,60,89,14,93,23,
BCD,BCD00178,2,7,63,7,52,66,59,32,48,98,19,100,36,43,37,84,15,29,27,86,14,100,15,94,
BCD,BCD00179,76,24,99,25,2,21,82,66,57,89,60,41,38,79,51,65,6,72,63,6,55,75,13,44,
BCD,BCD00180,17,6,42,27,6,37,33,8,83,94,27,44,62,20,36,88,45,57,54,91,10,70,85,33,
BCD,BCD00181,38,76,92,47,1,56,14,82,63,96,48,63,96,51,100,99,25,44,54,2,13,80,44,55,
BCD,BCD00182,50,36,78,98,55,51,13,49,35,72,62,82,2,95,70,21,40,80,73,23,94,63,41,30,
BCD,BCD00183,16,53,26,29,46,58,60,83,43,52,54,80,11,82,43,28,41,71,37,81,29,83,45,14,
BCD,BCD00184,15,33,36,6,53,86,37,64,74,6,90,59,84,37,52,56,0,71,91,11,30,90,22,100,
BCD,BCD00185,40,91,57,62,31,42,10,40,52,96,57,98,91,30,40,24,89,78,66,63,14,20,99,40,
BCD,BCD00186,20,62,25,50,3,42,50,22,56,37,49,42,55,100,88,25,14,48,65,45,74,83,17,97,
BCD,BCD00187,45,90,63,35,25,58,17,78,89,14,64,47,81,97,77,98,71,44,75,3,44,65,77,45,
BCD,BCD00188,83,60,5,84,78,96,18,44,56,57,81,45,93,12,2,24,53,21,2,1,90,44,18,21,
BCD,BCD00189,11,88,23,94,32,65,23,66,49,81,76,17,9,13,30,13,83,11,39,96,89,24,53,74,
BCD,BCD00190,91,61,25,12,72,55,93,72,63,20,24,73,89,31,25,16,44,25,22,93,67,25,19,4,
BCD,BCD00191,90,9,39,76,46,93,47,76,13,31,74,71,53,18,37,6,71,100,2,15,64,65,99,44,
BCD,BCD00192,88,87,87,84,52,12,40,47,66,93,70,41,40,26,53,13,15,96,69,13,31,22,20,71,
BCD,BCD00193,73,97,53,45,32,24,56,9,15,34,100,84,62,53,70,51,40,53,55,16,14,98,33,13,
BCD,BCD00194,53,2,40,33,21,38,51,3,43,49,48,52,44,3,87,7,42,89,64,98,80,0,62,12,
BCD,BCD00195,87,8,2,57,52,46,53,97,82,92,6,37,26,47,52,33,49,21,74,75,38,67,60,56,
BCD,BCD00196,29,60,53,6,24,68,22,88,9,40,10,11,2,97,88,34,82,44,24,6,38,59,57,24,
BCD,BCD00197,7,68,26,71,14,56,7,41,12,64,97,87,97,30,63,17,29,99,44,23,37,32,37,77,
BCD,BCD00198,70,57,57,98,82,78,71,58,43,99,80,49,39,44,35,89,27,92,44,64,64,28,30,33,
BCD,BCD00199,77,15,94,39,60,48,49,18,72,7,99,40,11,64,92,66,9,81,49,37,7,96,54,46,
BCD,BCD00200,21,36,54,60,35,13,75,27,51,7,74,21,65,67,47,36,76,70,88,68,13,34,49,83,
BCD,BCD00201,15,71,32,40,17,35,33,71,0,4,83,65,25,47,43,28,27,29,99,32,54,36,87,68,
BCD,BCD00202,69,37,24,64,99,79,14,96,73,37,50,90,70,11,70,56,16,45,78,1,46,16,44,4,
BCD,BCD00203,85,82,51,9,84,39,71,92,8,46,58,55,73,47,77,72,57,27,29,14,6,17,13,58,
BCD,BCD00204,62,5,6,14,29,60,62,94,49,69,60,84,61,86,96,76,0,4,78,49,100,76,18,92,
BCD,BCD00205,98,98,68,38,82,53,65,58,41,45,1,89,59,99,100,10,10,0,28,49,19,90,47,17,
BCD,BCD00206,59,39,24,9,89,4,56,99,20,28,59,100,33,72,80,1,71,8,18,78,54,51,11,61,
BCD,BCD00207,94,74,29,12,29,12,5,1,46,66,57,80,20,19,16,68,99,38,68,27,48,72,75,79,
BCD,BCD00208,64,0,82,88,26,100,60,4,75,69,17,79,25,67,94,40,96,36,25,56,22,40,70,26,
BCD,BCD00209,39,67,34,90,57,71,93,82,83,77,83,72,2,11,72,95,53,48,75,82,24,40,88,51,
BCD,BCD00210,96,66,81,32,25,39,12,70,19,12,92,55,75,94,86,14,48,32,51,19,96,51,75,28,
BCD,BCD00211,7,87,91,95,13,8,52,11,0,44,98,94,39,59,22,75,20,74,53,19,15,28,80,71,
BCD,BCD00212,18,7,43,10,42,85,66,12,7,16,42,44,26,57,37,58,7,54,53,24,33,51,16,34,
BCD,BCD00213,10,95,52,77,64,43,40,73,61,0,45,31,2,59,43,39,42,40,49,88,29,46,90,32,
BCD,BCD00214,14,15,32,46,35,49,62,6,10,100,26,61,66,62,7,22,89,49,27,82,3,96,59,43,
BCD,BCD00215,100,82,100,18,38,39,1,38,29,71,81,67,36,35,56,35,72,30,52,33,35,36,61,90,
BCD,BCD00216,61,10,50,34,73,19,46,4,5,13,94,92,80,31,37,81,37,57,29,13,85,53,81,48,
BCD,BCD00217,36,4,0,8,0,48,83,94,91,53,86,86,79,17,5,53,1,81,78,99,57,28,72,5,
BCD,BCD00218,51,7,29,32,72,97,59,10,35,65,9,69,19,51,24,100,30,4,82,47,87,91,97,24,
BCD,BCD00219,45,38,43,74,99,54,99,70,27,88,93,79,54,93,79,30,55,12,7,60,97,51,94,2,
BCD,BCD00220,32,31,24,38,80,67,72,97,36,78,26,58,51,93,29,0,44,94,89,46,28,84,86,47,
BCD,BCD00221,98,12,93,61,71,86,63,89,37,47,85,98,98,39,67,86,62,37,45,38,32,44,89,52,
BCD,BCD00222,2,0,100,72,1,51,60,87,20,48,17,53,83,89,80,61,0,19,86,59,54,9,11,72,
BCD,BCD00223,9,45,13,5,39,49,71,20,76,49,19,8,10,37,100,95,25,16,19,98,53,18,37,3,
BCD,BCD00224,54,78,77,78,34,39,48,96,60,53,47,69,19,94,47,91,54,0,46,93,10,97,17,84,
BCD,BCD00225,15,85,65,37,94,71,43,97,21,72,42,9,71,3,63,73,38,94,54,48,94,2,9,49,
BCD,BCD00226,84,71,93,87,66,58,68,52,12,30,83,48,25,61,100,33,39,95,16,13,54,67,60,63,
BCD,BCD00227,87,59,84,72,39,21,77,19,49,53,33,37,4,32,51,93,28,19,11,72,43,57,17,71,
BCD,BCD00228,48,29,64,90,58,39,18,40,8,44,52,73,78,50,85,92,16,85,50,68,27,48,12,4,
BCD,BCD00229,32,59,48,34,97,9,79,91,88,18,29,36,29,14,37,19,90,59,100,36,66,20,76,13,
